"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,343001,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,345078,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,352926,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,355196,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,391263,"P","Provisional value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,415818,"P","Provisional value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,55910.3165,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,62693.1804,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,71148.2798,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,79674.63,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,91677.1575,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,104264.8056,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,115499.7672,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,131744.9582,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,142857.9298,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,154036.7544,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,163553.0595,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,176066.218,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,185849.174,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,192029.6444,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,198727.2231,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,209536.8389,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,216804.4243,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,223318.4782,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,225246.569,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,234907.5349,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,248597.4118,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,263036.502,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,277851.2785,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,289644.3717,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,297972.0833,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,313123.6819,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,329547,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,344625,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,369046,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,394295,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,419459,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,452007,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,481881,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,501137,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,512810,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,529286,,
